DA_ID,DA_Name,V_Model_Phase,Primary_LLM,Specialized_LLM,IP_Class,Tool_Impact_TI,Tool_Detection_TD_Target,Tool_Confidence_Level_TCL,Suggested_Priority,ASIL_Scope,Qualification_Methods_26262_8,Human_Review_Default,ASIL_Override_Required,Notes
REVA,Requirements Review,Requirements,Copilot Enterprise,GPT4IFX (fallback),Customer-NDA,TI2,TD2,TCL2,HIGH,A-D,1b + 1c,QUICK,Force FULL for ASIL>=C,TD2 because requirement quality not statically verifiable
PRQ_Drafter,Requirements Drafting,Requirements,Copilot Enterprise,GPT4IFX (fallback),IFX-Confidential,TI2,TD2,TCL2,HIGH,A-D,1b + 1c,FULL,Always FULL for ASIL-C/D,TD2 because new requirements cannot be auto-checked
RMA,Requirements Management,Requirements,Copilot Enterprise,GPT4IFX (fallback),IFX-Confidential,TI2,TD2,TCL2,MEDIUM,A-D,1b + 1c,QUICK,No,TD2 because traceability semantics need expert review
SAGA,SW Architecture (uses ifxpyarch QEAX),Architecture,Copilot Enterprise,GPT4IFX (fallback),IFX-Confidential,TI2,TD2,TCL2,HIGH,A-D,1b + 1c,QUICK,Force FULL for ASIL>=C,TD2 because architecture correctness needs human judgment
SAVA,SW Arch Verification (uses ifxpyarch QEAX),Architecture,Copilot Enterprise,GPT4IFX (fallback),IFX-Confidential,TI2,TD2,TCL2,HIGH,A-D,1b + 1c,QUICK,Force FULL for ASIL>=C,Verification semantics not fully static-checkable
SASA,SW Arch Safety Analysis (uses ifxpyarch QEAX),Architecture,Copilot Enterprise,GPT4IFX (fallback),IFX-Confidential,TI2,TD2,TCL2,CRITICAL,A-D,1b + 1c,FULL,Always FULL + Safety Mgr,Safety Manager owns TCER
HAZOPA,HAZOP Analysis (uses ifxpyarch QEAX),Architecture,Copilot Enterprise,GPT4IFX (fallback),IFX-Confidential,TI2,TD2,TCL2,CRITICAL,A-D,1b + 1c,FULL,Always FULL + Safety Mgr,Critical for safety case
DaFaA,Dataflow/Fault Analysis (uses ifxpyarch QEAX),Architecture,Copilot Enterprise,GPT4IFX (fallback),IFX-Confidential,TI2,TD2,TCL2,HIGH,A-D,1b + 1c,QUICK,Force FULL for ASIL>=C,Fault propagation analysis aided
CIA,Code Implementation Assistant,Design/Impl,Copilot Enterprise,GPT4IFX (fallback if Copilot precondition fails),Customer-NDA,TI2,TD1,TCL1,CRITICAL,A-D,None formal (TCL1) + validity check,FULL,Always FULL + indep + Safety Mgr for ASIL-D,Highest-volume code gen; TD1 per ISO 26262-8 §11.4.5.5 Ex.3 given full static analysis pipeline (precondition: no gate bypassed). Customer-NDA via Copilot Enterprise per AICE_SYSTEM_CARD §4.3
CTA,Code Transformation Assistant,Design/Impl,Copilot Enterprise,GPT4IFX (fallback),Customer-NDA,TI2,TD1,TCL1,HIGH,A-D,None formal (TCL1) + validity check,FULL,Always FULL + indep for ASIL-D,TD1 same rationale as CIA (pure code output)
GECA,Config Generation Assistant,Design/Impl,Copilot Enterprise,GPT4IFX (fallback),Customer-NDA,TI2,TD2,TCL2,HIGH,A-D,1b + 1c,FULL,Force FULL+indep for ASIL>=C,TD2 because semantic config-intent errors beyond static check
GEVT,Config Verification/Test,Design/Impl,Copilot Enterprise,GPT4IFX (fallback),Customer-NDA,TI2,TD2,TCL2,HIGH,A-D,1b + 1c,QUICK,Force FULL for ASIL>=C,Verification of config matches spec
ACRA,Code Review Assistant,Verification,Copilot Enterprise,GPT4IFX (fallback),Customer-NDA,TI2,TD2,TCL2,HIGH,A-D,1b + 1c,QUICK,Force FULL for ASIL>=C,TD2 because miss-detection needs indep review
GEST_TestCode,Test Code Generation,Verification,Copilot Enterprise,GPT4IFX (fallback),Customer-NDA,TI2,TD1,TCL1,HIGH,A-D,None formal (TCL1) + validity check,QUICK,Force FULL for ASIL>=C,Test code flows through MISRA+compile+peer review
GEST_TestSpec,Test Spec Generation,Verification,Copilot Enterprise,GPT4IFX (fallback),Customer-NDA,TI2,TD2,TCL2,HIGH,A-D,1b + 1c,QUICK,Force FULL for ASIL>=C,Spec correctness needs expert review
ATRA,Test/Arch Req Traceability,Verification,Copilot Enterprise,GPT4IFX (fallback),Customer-NDA,TI2,TD1,TCL1,MEDIUM,A-D,None formal (TCL1),AUTO,No,Structural/deterministic
ATQA,Test Quality Assessment,Verification,Copilot Enterprise,GPT4IFX (fallback),Customer-NDA,TI2,TD2,TCL2,MED-HIGH,A-D,1b + 1c,QUICK,Force FULL for ASIL>=C,Test suite adequacy assessment
TripleA,Req-Arch-Impl-Test Integrity,Cross-cutting,Copilot Enterprise,GPT4IFX (fallback),IFX-Confidential,TI2,TD1,TCL1,MEDIUM,A-D,None formal (TCL1),AUTO,No,Graph-query semantics
PAGE,Page/Documentation Gen,Support,Copilot Enterprise,GPT4IFX (fallback),Public+Internal,TI1,TD1,TCL1,LOW,A-D,None required (TCL1),QUICK,No for non-safety docs; FULL+Legal for safety manual,Safety manuals elevated to TI2
KW,Knowledge Worker (Ingestion),Support,Copilot Enterprise (orchestration),GPT4IFX (PDF extraction PRIMARY),IFX-Confidential,TI2,TD2,TCL2,MEDIUM,A-D,1b + 1c,QUICK,No,Prompt-injection attack surface via ingestion. PDF extraction stays on GPT4IFX
M2MA,Model-to-Model Agent,Support,Copilot Enterprise,GPT4IFX (fallback),Varies,TI2,TD2,TCL2,MEDIUM,A-D,1b + 1c,QUICK,No,Model transformation; TD2 pending validation strategy
ZA,Zephyr Assistant (BSP),Platform,Copilot Enterprise,GPT4IFX (fallback),Mixed (FOSS-public + IFX-confidential bridges),TI2,TD2,TCL2,MED-HIGH,A-D,1b + 1c,FULL,Always FULL for safety-relevant BSP,BSP code through pipeline but OS-integration semantics not fully static-checked. Copilot 'Block matching public code' enabled
NXA,NuttX Assistant (BSP),Platform,Copilot Enterprise,GPT4IFX (fallback),Mixed (FOSS-public + IFX-confidential bridges),TI2,TD2,TCL2,MED-HIGH,A-D,1b + 1c,FULL,Always FULL for safety-relevant BSP,Same rationale as ZA. Copilot 'Block matching public code' enabled
