"Finding ID","Summary","Description","Estimate (hours)","Estimate (days)","Severity","Workstream","Sprint","Status","Status Notes (2026-06-19 branch audit)"
"F-D01","[F-D01] Tools registered with @mcp.tool() but missing from tool_tiers.py","Pass 1 audit: some MCP tools are decorated with @mcp.tool() but have no entry in mcp/core/tool_tiers.py. These tools default-deny silently when callers reach them. Add an entry to tool_tiers.py for every registered tool. CI gate test_consistency_gates.py::TestToolTiers prevents regression. See workstream W-23.","2","0.25","Critical","W-23","Sprint 29"
"F-D02","[F-D02] Cerbos resource_mcp_tool.yaml has duplicate or multi-tier tool entries","Some tools appear in multiple tier rules in mcp/auth/policies/resource_mcp_tool.yaml; some appear duplicated within the same tier. Dedupe; ensure each tool appears in exactly one tier. CI gate TestCerbosPolicy prevents regression. See workstream W-23.","2","0.25","Critical","W-23","Sprint 29"
"F-D03","[F-D03] Phantom tool names referenced in requirements/*.md docs","Requirements docs reference tool names that aren't actually registered. Either register the tools, fix the docs, or add to tests/ci/requirements_doc_allowlist.txt with a comment. See workstream W-23.","2","0.25","High","W-23","Sprint 29"
"F-D04","[F-D04] Confidence scoring 7-signal documentation drift","docs/architecture/review-gate.md does not match the canonical 7-signal scoring (base 20). Update doc to match implementation. See workstream W-23.","1","0.12","High","W-23","Sprint 29"
"F-D05","[F-D05] PatternStore documentation says Neo4j+Qdrant but implementation is Qdrant-only","Per user constitution, PatternStore is Qdrant-only. Drop the neo4j_driver= kwarg from PatternStore constructor (already done in W-07). Update docs. See workstream W-07.","1","0.12","High","W-07","Sprint 26"
"F-D06","[F-D06] Tool count claim drift across docs (62 vs 56 vs others)","Multiple docs claim different MCP tool counts. Run `python -c 'from mcp.core.mcp_server import mcp; print(len(mcp._tools))'` to get the actual count and update docs/DOCUMENTATION.md, docs/architecture/OVERVIEW.md, README.md. CI gate TestToolCount prevents regression. See workstream W-23.","1","0.12","High","W-23","Sprint 29"
"F-D07","[F-D07] DA list count drift (21 vs 21+ vs 22 across docs)","Different docs claim 21 / 21+ / 22 DAs. Pick the canonical number based on DA_TASK_MAPPING in rlm_orchestrator.py. Update docs. See workstream W-23.","0.5","0.06","Medium","W-23","Sprint 29"
"F-D08","[F-D08] MCP_QUICKSTART.md sample code uses outdated tool argument name","Sample code in docs/MCP_QUICKSTART.md uses old parameter names that don't match current tool signatures. Audit and update. See workstream W-23.","1","0.12","Medium","W-23","Sprint 29"
"F-D09","[F-D09] Storage config docs don't match storage_config.yaml fields","Documentation references config fields that don't exist or omits fields that do exist. Reconcile. See workstream W-23.","1","0.12","Medium","W-23","Sprint 29"
"F-D10","[F-D10] Ontology profile names drift between docs and ontology.yaml","Docs reference profile names that don't match the actual profile keys in config/ontology.yaml. Reconcile. See workstream W-23.","0.5","0.06","Medium","W-23","Sprint 29"
